username_a,username_b,sinceAt,notificationsOn,closeFriend
janice76,xwilliams,2026-03-01,true,false
mshaw,amandaortega,2026-03-13,false,false
stewartjessica,jenna65,2026-01-12,false,false
wcarson,kevinbrown,2026-03-26,true,false
shane49,amy99,2026-03-19,false,true
mbarrett,angela04,2026-04-17,true,false
avilanathan,daychristian,2026-04-06,true,false
olivia88,barajassusan,2026-02-22,true,false
david28,acostarick,2026-01-18,true,false
karawilliams,hayesbrandon,2026-02-05,false,false
joelgray,lisa10,2026-04-12,true,true
eclark,steinmichael,2026-02-09,false,true
rhatfield,tyler84,2026-03-18,false,false
connie38,haleywilson,2026-02-10,true,false
russellmelissa,zmurphy,2026-02-13,true,false
andrewsblake,burnsamanda,2026-04-16,false,true
mdavis,xwatts,2026-01-29,true,true
alisonhenderson,kimberlymarsh,2026-02-08,true,true
emily78,danielblanchard,2026-02-19,true,true
abell,lauren30,2026-02-22,true,false
kingtyler,thomaspatrick,2026-04-06,true,true
anthonyyoung,kevinfisher,2026-01-29,false,true
angelapatterson,keith31,2026-04-01,false,false
edwardskenneth,mparrish,2026-04-22,false,true
susangoodman,cunninghamvalerie,2026-01-18,true,false
gonzalezchristopher,garciarobin,2026-01-22,true,true
williamlittle,fbird,2026-01-05,true,true
danielwatkins,ojackson,2026-02-04,true,false
stacey99,michael70,2026-02-01,false,true
jennifer18,ljackson,2026-04-26,true,true
julia54,qcombs,2026-03-14,true,true
rachel22,elizabethrogers,2026-04-26,false,false
amandadrake,richard30,2026-02-25,false,true
kerrylynn,thamilton,2026-04-05,true,false
travisjacobs,terryroberts,2026-04-28,true,false
tmontgomery,chelsey78,2026-01-14,true,false
denise66,nicolegardner,2026-02-08,false,true
derek30,keith31,2026-01-11,true,true
latasha66,bramos,2026-03-19,true,false
courtneyrollins,taradominguez,2026-04-01,false,false
gaineschristian,richard16,2026-03-16,true,false
barbara47,amy19,2026-02-06,true,false
ivelasquez,beverlyconner,2026-04-14,true,true
hernandezeugene,vazquezkevin,2026-02-22,true,true
melissa72,knelson,2026-04-28,false,true
theresawood,dsanchez,2026-01-31,true,true
campbellaaron,harrisonjack,2026-03-10,false,false
alexander60,douglasaaron,2026-04-26,true,true
pwatkins,shelby50,2026-04-08,false,true
vromero,estephens,2026-02-09,true,false
ralph55,wramirez,2026-04-12,false,false
donald21,rosecohen,2026-03-13,false,true
npratt,cookerobert,2026-03-02,false,true
mstone,yhendrix,2026-01-28,true,true
sarahschmidt,don68,2026-01-25,true,false
eperry,latasha66,2026-04-06,true,false
ydiaz,qmosley,2026-01-31,true,false
ubaker,bochoa,2026-02-02,false,true
walkerjennifer,danielvargas,2026-03-20,false,false
dbarnett,clementscharles,2026-01-22,false,true
kaylafuller,faulknerjennifer,2026-04-16,true,false
robertschristy,manuelbrown,2026-04-17,true,true
aliciacarey,xholt,2026-03-08,true,true
christianmichael,reneepope,2026-03-19,false,false
michelle48,patrickflores,2026-03-10,false,false
nguyenrachel,stephenstevens,2026-04-22,false,false
frankgonzalez,markhernandez,2026-04-27,true,false
tiffanygraves,kirkalexis,2026-01-17,false,true
bushbob,robertstyler,2026-03-22,false,false
mayjacqueline,allen84,2026-04-12,true,false
christopher73,melissareed,2026-04-09,false,false
owarner,carolyn94,2026-01-11,true,false
myerssamuel,vyoung,2026-03-31,false,false
bholmes,jonesmark,2026-02-23,false,false
heatherjohnston,amy49,2026-02-09,true,false
cmiller,martinmichael,2026-02-18,true,true
phillipbarron,williamsmichael,2026-04-10,true,true
utrujillo,tyler28,2026-03-22,false,false
hinesmorgan,gravesjohn,2026-04-08,true,true
kathleengonzalez,joseramirez,2026-04-20,true,true
kevin66,christina45,2026-01-26,false,false
torressophia,jacksongregory,2026-03-01,true,false
gonzalezmary,robin35,2026-03-06,false,false
thomascunningham,gloria57,2026-04-26,true,false
mariajacobs,michellestevens,2026-01-11,false,false
hhernandez,gflores,2026-01-21,false,false
sandy14,zthompson,2026-03-11,true,false
collinsdawn,amoon,2026-03-12,false,true
kimberlygross,wswanson,2026-04-17,true,false
beckcharles,odickson,2026-04-07,false,true
jwalker,sweeneyrobert,2026-03-01,true,false
amandaclements,charlesbowman,2026-01-04,true,false
kellyherring,zjames,2026-03-31,false,false
deleonjames,shelly05,2026-04-17,true,false
whiteholly,robinsonbriana,2026-04-03,true,true
qmccarty,robert51,2026-03-09,true,false
john08,vhurley,2026-03-31,false,false
wwalker,scott93,2026-03-27,true,true
estephens,richard99,2026-04-13,true,false
bowerslarry,nicholascabrera,2026-02-09,true,false
ytorres,dixonandrew,2026-01-07,false,true
tamara62,mdavis,2026-04-22,true,false
sarahpoole,eanderson,2026-03-27,false,false
davenportdavid,stevenrandall,2026-01-01,true,false
millerjustin,karenmills,2026-04-12,true,true
qsimmons,darryllowe,2026-02-14,true,false
patrickcarter,hansenmichael,2026-01-30,true,true
xbishop,hestes,2026-03-06,false,false
phylliswood,apineda,2026-04-26,false,true
crystal66,twalker,2026-02-06,false,false
eberry,lthomas,2026-01-03,false,false
markhernandez,jamesparks,2026-01-08,false,false
crystalmejia,daniellesilva,2026-03-29,true,true
randallsampson,johnglass,2026-02-23,false,true
brianmckinney,jenniferramos,2026-01-21,true,false
matthewgreen,msexton,2026-04-19,false,true
greenedonna,sharon55,2026-04-09,true,true
travisjacobs,ywatson,2026-02-17,false,true
jlee,patrick83,2026-01-03,true,true
charles64,ramirezsean,2026-04-07,true,false
cheryljohnson,andrew91,2026-04-07,false,false
ericjohnson,allenjose,2026-03-15,true,false
jared35,aprilgonzalez,2026-03-28,true,false
robertmcdonald,thomaspatrick,2026-01-26,true,false
leah13,kylebecker,2026-03-25,false,true
vgreer,markfrazier,2026-01-13,false,false
williamsingh,erica09,2026-04-16,true,false
bperry,powellsandra,2026-03-17,true,true
riveraglenn,mrodriguez,2026-01-26,false,false
zwalker,millerjesse,2026-04-18,true,false
steinmichael,stephaniewebb,2026-03-04,true,true
amberlee,edwardhernandez,2026-03-27,true,false
fmaldonado,mary50,2026-02-25,true,false
abrooks,ruben74,2026-02-14,false,true
jaredruiz,schneiderjacqueline,2026-04-24,false,true
alexandermcgee,brianjones,2026-02-08,false,true
rodriguezangela,kimberly89,2026-04-11,true,true
leestephanie,wclark,2026-01-26,false,false
smithmario,thomaspatrick,2026-01-30,false,true
kevinfisher,timothyfranklin,2026-03-17,false,false
brownangelica,lbest,2026-01-28,false,false
megansmith,charlotte04,2026-02-14,true,true
maria55,xhernandez,2026-02-16,false,false
ggreen,aweaver,2026-02-07,false,true
sandraallen,johnsonamber,2026-01-08,true,false
fray,samanthahunt,2026-02-16,false,false
rramos,morganterry,2026-03-13,false,true
cnolan,fhuffman,2026-01-24,true,false
acampbell,joneslaura,2026-01-23,true,true
jenniferwoodard,apeterson,2026-03-30,true,false
derek10,anita88,2026-02-28,false,true
thomasandrews,xjohnson,2026-04-09,false,false
wilsoneric,alexbryant,2026-02-09,true,true
ewhite,crossgina,2026-01-12,false,true
christopher66,ohinton,2026-02-23,false,true
lindsey25,jesse14,2026-03-17,false,true
margaret68,blanchardzachary,2026-03-13,true,false
daychristian,davisdiane,2026-01-13,false,false
josephnichols,claytonhuang,2026-02-23,false,true
davenportdavid,peterhawkins,2026-03-22,true,false
tony57,hfuller,2026-02-18,false,true
nhunter,wernerwilliam,2026-04-05,true,false
vparker,michaelramirez,2026-01-26,false,true
jeffreythompson,brogers,2026-04-07,false,true
sandraallen,frogers,2026-04-14,true,false
evanslisa,sharon55,2026-01-21,false,true
watsonnicholas,brandi68,2026-03-01,true,false
jwalker,sara63,2026-04-13,true,true
arandall,reneelewis,2026-01-14,true,true
jamesgreene,hknox,2026-02-01,false,false
dkeller,brownangelica,2026-01-24,true,false
chelsea65,chelsea03,2026-02-08,true,true
annaryan,rodneygallagher,2026-04-15,true,true
lauravargas,djones,2026-01-01,true,false
wyoung,maria88,2026-03-14,false,true
gwatkins,keiththompson,2026-01-09,true,true
keith31,davisbrittney,2026-01-26,true,false
andersencody,paulaesparza,2026-02-27,false,true
adavis,aliciasalazar,2026-02-02,true,true
cantrellstephen,andersontina,2026-03-12,false,true
jeanettebaker,pbradford,2026-04-05,false,true
rodriguezmichelle,alexandria81,2026-04-26,false,false
christopherelliott,knoxstephanie,2026-01-02,false,false
qmckinney,gsanchez,2026-04-14,false,true
kellyayers,robbinslydia,2026-01-16,false,false
martinchad,brooksvictor,2026-04-24,false,true
michaeldaniels,kathleen77,2026-02-11,true,false
alison95,brownangelica,2026-01-01,true,true
calvin05,dayian,2026-04-26,false,false
smithmichael,vcasey,2026-01-08,true,false
lynn19,nmartin,2026-03-14,true,true
hmurphy,gsanchez,2026-04-26,false,false
smitchell,qwright,2026-03-13,true,false
john34,rodriguezmichelle,2026-03-07,false,false
taylorstacy,patricia13,2026-01-14,false,true
ericagreene,dana03,2026-01-01,true,false
brewerlaura,markkeith,2026-02-17,false,false
carol43,alexanderwhite,2026-03-07,false,true
kristenfoster,vweiss,2026-03-18,true,false
garciajose,mariatyler,2026-03-14,true,true
knightmichael,shelby50,2026-04-14,true,true
brad76,erin11,2026-04-05,true,false
tayloreric,brandonfisher,2026-04-24,true,false
amcgrath,iross,2026-02-24,false,true
johngriffin,lmoore,2026-02-07,false,true
thomaslee,jeffrey88,2026-02-11,true,false
pwatkins,ivelasquez,2026-03-30,true,true
glennrachel,novakrobert,2026-04-20,true,false
riveradawn,dodsonjoshua,2026-02-12,false,true
zkline,twatkins,2026-03-12,true,true
lewismatthew,jeffrey39,2026-02-02,false,false
rodriguezzachary,melissajackson,2026-01-18,true,true
marcjones,hurleyalexandra,2026-02-22,false,true
danielbarrett,cheyenne27,2026-03-15,true,true
knightmichael,wcarson,2026-02-02,false,false
stephensmaria,michaelbates,2026-04-12,true,false
kevinharvey,johnstonmelissa,2026-03-30,false,true
flynnvictor,michael70,2026-02-05,false,false
michael70,scottvalerie,2026-01-08,false,false
perezkelli,krystal89,2026-01-08,true,true
gflores,christopher51,2026-02-15,true,false
yguerrero,ralph12,2026-04-20,true,true
williamsingh,baileykendra,2026-01-09,true,true
stevensbrenda,russellrachel,2026-03-20,true,true
christopher86,barbaralawrence,2026-04-16,false,false
ellislisa,kentsherry,2026-01-03,true,true
tylerschmidt,xwalter,2026-02-03,false,true
ericwilliams,mejiaderek,2026-02-07,false,true
smartin,bgallegos,2026-03-03,false,true
zhoward,madison37,2026-02-03,false,false
donald34,ashleyjennings,2026-03-31,false,false
harpermark,jlarson,2026-02-14,true,false
donald34,tracygregory,2026-03-13,false,false
scruz,weberjuan,2026-04-28,false,true
hhammond,danielgarcia,2026-02-13,false,false
cole20,omoreno,2026-01-27,true,false
morganfrances,edward86,2026-03-13,false,false
brendameyer,dustinriley,2026-02-23,true,true
samuelchavez,fbrown,2026-01-04,true,false
kimberlygreene,jacobcamacho,2026-01-12,true,true
todd46,briansnyder,2026-03-11,false,false
christinamelton,jesse56,2026-04-16,false,true
jesse56,nashjustin,2026-03-08,true,true
randy72,tony72,2026-01-25,true,false
aliciacarey,debra78,2026-04-18,true,true
kbrown,adavis,2026-01-15,false,false
swilliamson,ashley43,2026-02-04,true,false
tommy14,wilsoneric,2026-03-07,false,true
hnguyen,stevenbowman,2026-04-13,false,true
foxtaylor,lynn19,2026-02-20,false,false
carol40,jeff81,2026-04-12,false,false
knightmichael,kevinbrown,2026-01-09,true,true
carlospatterson,barrettamy,2026-03-25,false,false
mark29,kathleenguerrero,2026-04-08,true,true
zachary97,lowejoel,2026-04-23,true,false
ydennis,tyler65,2026-04-01,false,true
craig49,ymcdonald,2026-01-19,true,true
cheyenne27,dkeller,2026-04-08,true,false
thess,ashleewilliams,2026-04-28,true,false
katherine53,stevensdanielle,2026-04-04,false,false
joshua13,mindy83,2026-03-02,true,false
michaeljones,victor09,2026-03-07,true,true
kyle60,kimberlycraig,2026-03-16,false,true
xperez,sean02,2026-02-09,false,true
kimberly64,perezmiguel,2026-03-13,false,true
whitejoseph,glennrachel,2026-04-19,true,true
shane75,wendy90,2026-01-08,true,false
adamsjeffrey,marshtyrone,2026-04-21,false,true
stewartjessica,mindy83,2026-03-08,true,false
owenskarina,gary25,2026-02-05,false,true
michelle95,moonronald,2026-01-02,false,true
