username,community_name,joinedAt,role,isActive
zharris,r/pcmasterrace,2026-04-28,Moderator,true
elizabethrogers,r/skyrim,2026-04-21,Member,true
hernandezangela,r/Helldivers,2026-04-11,Member,true
michaelmills,r/skyrim,2026-04-24,Moderator,false
eric50,r/NintendoSwitch,2026-01-29,Moderator,false
vhodge,r/NintendoSwitch,2026-03-24,Member,false
angela80,r/PS5,2026-04-05,Member,false
jessicajones,r/Helldivers,2026-03-20,Moderator,false
jamesparks,r/truegaming,2026-01-19,Member,true
smacdonald,r/skyrim,2026-01-09,Moderator,true
dana04,r/Helldivers,2026-04-21,Member,false
paul41,r/Valorant,2026-04-14,Moderator,false
lovecheryl,r/skyrim,2026-03-31,Member,false
karen57,r/FortniteBR,2026-03-02,Member,false
obryan,r/Valorant,2026-04-05,Member,false
sara63,r/leagueoflegends,2026-02-07,Moderator,false
rramos,r/gaming,2026-04-12,Moderator,false
rebecca02,r/leagueoflegends,2026-03-31,Member,false
christopher89,r/NintendoSwitch,2026-02-13,Member,false
jweaver,r/Helldivers,2026-02-24,Member,false
hollyhernandez,r/indiegames,2026-04-12,Member,false
brendancarter,r/leagueoflegends,2026-03-24,Member,false
kristen85,r/truegaming,2026-04-13,Moderator,true
stevenking,r/Valorant,2026-02-11,Member,true
qmckinney,r/patientgamers,2026-04-07,Moderator,true
vrodriguez,r/Minecraft,2026-03-11,Moderator,false
kimberly67,r/truegaming,2026-01-06,Member,false
kristen85,r/EldenRing,2026-02-08,Moderator,true
guzmanbrandi,r/skyrim,2026-04-02,Moderator,false
tammywalker,r/leagueoflegends,2026-01-23,Moderator,false
charles90,r/GlobalOffensive,2026-02-11,Moderator,false
freemaneric,r/leagueoflegends,2026-03-16,Moderator,true
prattmichael,r/skyrim,2026-04-11,Moderator,true
phyllis42,r/PS5,2026-02-08,Moderator,false
sbaxter,r/leagueoflegends,2026-01-26,Moderator,false
jamesandrews,r/NintendoSwitch,2026-02-19,Member,true
gwatkins,r/gaming,2026-04-15,Moderator,false
salazarsean,r/GlobalOffensive,2026-02-21,Moderator,false
dford,r/NintendoSwitch,2026-03-09,Member,true
iholloway,r/Helldivers,2026-03-10,Member,false
elogan,r/truegaming,2026-02-01,Member,true
reevesross,r/EldenRing,2026-04-04,Member,false
melissa28,r/patientgamers,2026-02-04,Member,false
denisesmith,r/gaming,2026-03-27,Moderator,true
hayeswilliam,r/truegaming,2026-02-12,Moderator,true
suzanne71,r/patientgamers,2026-01-12,Moderator,true
campbellanna,r/Valorant,2026-01-15,Moderator,false
fernandezjames,r/EldenRing,2026-04-02,Member,false
kirbykathy,r/gaming,2026-01-11,Member,true
joseph51,r/EldenRing,2026-03-07,Member,true
wgilmore,r/Valorant,2026-03-08,Member,false
