username,post_id,upvotedAt,voteWeight,isSuperVote
victoriakey,post_951,2026-04-12,3,false
fernandobarnett,post_702,2026-04-25,3,false
alexanderwhite,post_1971,2026-04-14,1,true
upierce,post_1727,2026-04-01,3,true
phelpscolleen,post_1439,2026-04-18,2,true
jacksonsteven,post_941,2026-04-03,1,false
shane75,post_856,2026-04-09,3,false
andrew58,post_1930,2026-04-22,1,true
christopherdavis,post_135,2026-04-12,1,true
robertstyler,post_1062,2026-04-18,3,false
katiemccarthy,post_1318,2026-04-03,2,false
wduncan,post_634,2026-04-13,1,true
jonathanhurley,post_549,2026-04-02,2,false
dannyjensen,post_1858,2026-04-11,2,true
michellesheppard,post_61,2026-04-16,3,true
kennethbell,post_175,2026-04-11,3,true
qmiles,post_743,2026-04-09,3,true
garciaandrew,post_788,2026-04-20,1,false
tfoley,post_856,2026-04-07,1,true
xbishop,post_251,2026-04-01,3,true
zbrown,post_831,2026-04-16,2,false
brittany29,post_917,2026-04-22,2,false
jessicahudson,post_352,2026-04-23,1,false
danabrown,post_693,2026-04-09,1,false
angela80,post_484,2026-04-09,3,false
morenosharon,post_140,2026-04-20,3,true
smithjared,post_1929,2026-04-05,2,false
donnaalvarez,post_316,2026-04-27,1,false
walterandrea,post_610,2026-04-06,2,false
denniskenneth,post_1578,2026-04-19,1,false
hreynolds,post_963,2026-04-17,2,true
teresaburke,post_1039,2026-04-27,1,false
kristina37,post_1711,2026-04-13,1,true
wclark,post_1357,2026-04-28,2,true
tayloredward,post_1751,2026-04-20,2,true
amanda04,post_872,2026-04-24,2,true
marysims,post_633,2026-04-10,3,false
michelle85,post_705,2026-04-12,1,false
clementscharles,post_287,2026-04-23,2,false
andrew91,post_820,2026-04-23,3,false
meyerrichard,post_1907,2026-04-27,3,false
smcknight,post_432,2026-04-23,3,true
patricia91,post_268,2026-04-08,2,false
heatherkey,post_935,2026-04-06,3,false
huynhjacqueline,post_809,2026-04-05,2,false
wagnerdavid,post_1169,2026-04-19,2,false
lmorris,post_1622,2026-04-09,2,false
robinsonamy,post_622,2026-04-02,1,false
danielrocha,post_383,2026-04-19,2,true
mccallbrittany,post_1996,2026-04-25,2,false
owolf,post_1145,2026-04-02,2,true
holly60,post_683,2026-04-19,3,true
brownjohn,post_247,2026-04-12,3,false
knoxstephanie,post_22,2026-04-22,1,false
steven47,post_1213,2026-04-06,2,true
shane49,post_647,2026-04-22,1,true
jeffrey05,post_251,2026-04-26,3,true
amy63,post_812,2026-04-17,3,true
collinsdawn,post_596,2026-04-28,2,true
markschroeder,post_391,2026-04-11,1,false
brandon36,post_919,2026-04-21,3,true
jessica62,post_1195,2026-04-04,3,true
ashleylopez,post_1824,2026-04-11,3,false
sherry03,post_682,2026-04-17,3,true
tsmith,post_548,2026-04-11,3,false
rfloyd,post_237,2026-04-19,1,true
kylethomas,post_1356,2026-04-14,3,true
joseph81,post_997,2026-04-10,3,true
martinjacob,post_1403,2026-04-04,3,true
qreynolds,post_730,2026-04-24,1,false
williamsmatthew,post_1203,2026-04-25,3,false
toddandrews,post_209,2026-04-21,1,true
michaeldavis,post_1721,2026-04-15,2,true
fblair,post_745,2026-04-28,3,false
evansnichole,post_883,2026-04-27,1,true
parkjohnathan,post_1404,2026-04-14,2,true
vargasmichael,post_667,2026-04-21,1,true
pwright,post_1946,2026-04-05,3,false
heatherjohnston,post_1719,2026-04-08,1,true
mooreerik,post_1967,2026-04-23,1,false
joe25,post_1624,2026-04-01,1,true
paul79,post_1038,2026-04-18,1,true
ashleybarnes,post_247,2026-04-12,1,true
bnorton,post_1735,2026-04-05,1,false
ryanroberts,post_1275,2026-04-01,2,false
rickfitzgerald,post_127,2026-04-23,2,true
bboyd,post_222,2026-04-22,2,true
bmack,post_1703,2026-04-02,2,true
brandon48,post_1860,2026-04-10,3,false
callen,post_1126,2026-04-08,1,true
samuel97,post_1255,2026-04-22,3,false
jacquelinewilson,post_615,2026-04-18,2,false
jamessimmons,post_1958,2026-04-24,3,false
nashjustin,post_892,2026-04-24,1,false
wallen,post_154,2026-04-23,2,true
brownbrandon,post_576,2026-04-04,2,true
ralph55,post_849,2026-04-18,1,true
emily13,post_302,2026-04-18,3,true
danielshort,post_1117,2026-04-13,3,true
jeffreythompson,post_858,2026-04-19,1,false
nicole89,post_1534,2026-04-23,3,false
fwilliams,post_1111,2026-04-11,3,false
howardandrew,post_519,2026-04-18,3,false
keithrush,post_757,2026-04-18,2,true
ellismaurice,post_1953,2026-04-09,1,true
barbaralawrence,post_1143,2026-04-04,1,true
abell,post_264,2026-04-03,3,true
vincentjames,post_1463,2026-04-12,1,true
alisondiaz,post_1680,2026-04-22,1,true
huynhjacqueline,post_459,2026-04-02,3,false
freemanangela,post_1616,2026-04-18,3,true
newmaneric,post_349,2026-04-02,3,true
stevensdanielle,post_1574,2026-04-09,2,false
mcclainsylvia,post_436,2026-04-05,3,true
jonesmark,post_636,2026-04-19,2,false
yrichardson,post_692,2026-04-28,2,true
stephenglass,post_474,2026-04-04,1,true
reedcarrie,post_1095,2026-04-12,2,true
kevin66,post_1197,2026-04-13,3,true
emilypeters,post_1319,2026-04-25,3,true
taylorzachary,post_1819,2026-04-08,1,true
miguelking,post_1134,2026-04-02,3,false
jennifer42,post_1346,2026-04-11,3,false
xcastillo,post_929,2026-04-04,1,true
nguyenrachel,post_793,2026-04-22,2,true
crystal66,post_1843,2026-04-04,3,true
