username,post_id,clientApp,isEdited,location
andres44,post_0,Web,true,Solomon Islands
linda63,post_1,Web,false,Madagascar
starkfrederick,post_2,Desktop,false,Switzerland
michael35,post_3,Desktop,true,India
michael20,post_4,Android,true,Palestinian Territory
daisy16,post_5,Android,false,Paraguay
carlymunoz,post_6,iOS,false,Indonesia
sylvia30,post_7,iOS,true,Saint Kitts and Nevis
johnsonlogan,post_8,Desktop,true,Bangladesh
kingtyler,post_9,Android,true,Romania
terryroberts,post_10,Desktop,false,Lao People's Democratic Republic
vcasey,post_11,iOS,true,New Zealand
markbennett,post_12,iOS,true,Papua New Guinea
kelly18,post_13,iOS,false,Lithuania
markfrazier,post_14,Desktop,false,Nigeria
stephenschristine,post_15,iOS,true,Saint Vincent and the Grenadines
waynedyer,post_16,iOS,false,Netherlands
tylerallen,post_17,iOS,true,Peru
ymcdonald,post_18,Desktop,true,Nigeria
jamesmichael,post_19,Android,false,Reunion
tkelley,post_20,Web,true,Ghana
theresawood,post_21,iOS,false,Rwanda
vblack,post_22,Web,false,Grenada
michael58,post_23,Web,false,Monaco
cervantesjillian,post_24,Web,false,Equatorial Guinea
kirbyjames,post_25,Web,true,American Samoa
anthony02,post_26,Desktop,true,Western Sahara
joelgray,post_27,Web,true,Lesotho
urobinson,post_28,Android,true,Iceland
stephanierodriguez,post_29,Web,true,Ethiopia
nguyenrobert,post_30,Desktop,true,Saint Pierre and Miquelon
maria88,post_31,iOS,false,Monaco
abigail45,post_32,iOS,false,Kuwait
leenicholas,post_33,iOS,true,Finland
emccarthy,post_34,Web,true,Germany
patricia76,post_35,Web,false,Bouvet Island (Bouvetoya)
ithompson,post_36,Desktop,true,Portugal
frogers,post_37,Web,true,China
martinjacob,post_38,iOS,false,Falkland Islands (Malvinas)
amandaclements,post_39,Web,false,Slovakia (Slovak Republic)
nlowery,post_40,iOS,true,Swaziland
javierpatterson,post_41,Android,false,Malta
sotomelissa,post_42,Android,true,Hungary
ncastaneda,post_43,iOS,false,Uruguay
zmorales,post_44,Desktop,false,Mongolia
rose03,post_45,Desktop,false,Mali
schneiderdonald,post_46,Desktop,false,Chad
kevinbutler,post_47,Web,true,Malawi
